[00:00:00--00:00:02] 然后我们接下来进入到下一个环节
[00:12:58--00:13:00] 然后你去把数据训好
[00:13:00--00:13:01] 然后模型就能够更一步迭代
[00:13:01--00:13:04] 所以说我个人觉得Hallis这个东西
[00:13:04--00:13:06] 后面可能就是慢慢会消失
[00:13:06--00:13:07] 内化到模型里面去
[00:13:07--00:13:08] 就像它其实相互促进
[00:13:08--00:13:10] 我们现在很多Hallis Prompt
[00:13:10--00:13:11] 也都是模型在一起
[00:13:11--00:13:12] 然后再提升
[00:13:12--00:13:14] 再结合人的一些反馈
[00:13:14--00:13:15] 去更进一步提升
[00:13:15--00:13:16] 然后再给到模型
[00:13:16--00:13:16] 模型再进步
[00:13:16--00:13:17] 这个再往后
[00:13:17--00:13:19] 那我觉得Hallis肯定就是没有了
[00:13:19--00:13:21] 再往后还怎么办呢
[00:13:21--00:13:22] 那我觉得就是说
[00:13:22--00:13:24] 你模型自己去
[00:13:24--00:13:26] 就是我的model里面讲的
[00:13:26--00:13:27] 模型自己能在心里面去推你
[00:13:27--00:13:30] 下一步该怎么做
[00:13:30--00:13:31] 自己去演算
[00:13:31--00:13:32] 它不用把东西输出出来
[00:13:32--00:13:32] 再去演算
[00:13:32--00:13:36] 可能就是在神经网络里面去推演
[00:13:36--00:13:39] 它可能就最后能够得到一个比较好的结果
[00:13:39--00:13:41] 就跟算数据提一样
[00:13:41--00:13:43] 你可能是脑子里面会有一个失误
[00:13:43--00:13:46] 然后后面怎么把它给演算出来
[00:13:46--00:13:48] 这样可能就是再进一步的一种方式
[00:13:48--00:13:51] 所以说我觉得这是一个递进的过程
[00:13:51--00:13:53] 还是现在数据还是没训过
[00:13:53--00:13:56] 我觉得还是得接住Hallis这一套
[00:13:56--00:13:58] 然后把数据接下来的更多
[00:13:58--00:14:00] 对
[00:14:00--00:14:03] 好 非常感谢少海老师精彩的分享
[00:14:03--00:14:05] 那我们就来请小腾分享一下你的看法
[00:14:05--00:14:08] 我觉得这是一个非常大的topic
[00:14:08--00:14:09] 就是这个
[00:14:09--00:14:10] 对
[00:14:10--00:14:13] 然后我觉得这个里面可能有不同的层次
[00:14:13--00:14:20] 就是AGI其实就是寄托了人们对美好生活的愿景
[00:14:20--00:14:25] 然后我们大家都就是期待AGI的到来
[00:14:25--00:14:29] 其实本质在期待一种对生产力的解放
[00:14:29--00:14:30] 让自己可以追求一些工作
[00:14:30--00:14:32] 自己想做的一些事情
[00:14:32--00:14:33] 所以我觉得从这个角度
[00:14:33--00:14:36] 我们可以从三个维度去理解AGI这个事情
[00:14:36--00:14:40] 然后第一个维度就是AGI它是不是已经帮助我们去
[00:14:40--00:14:44] 把就是从繁重的工作里面把我们给解放出来了
[00:14:44--00:14:48] 然后我觉得要从这个维度上来考虑的话
[00:14:48--00:14:49] 我觉得就已经到来了
[00:14:49--00:14:51] 就是显然就是我想在座的各位
[00:14:51--00:14:55] 应该没有人在过去的一周手写过一行代码
[00:14:55--00:15:01] 然后我们公司从今年二月开始就禁止了所有员工写代码
[00:15:01--00:15:04] 然后就必须push大家用AI来写
[00:15:04--00:15:08] 然后我觉得这是一种思维方式的变化
[00:15:08--00:15:11] 就像你在有了搜索引擎以后
[00:15:11--00:15:13] 你不会用搜索引擎还在查字典
[00:15:13--00:15:14] 就是很愚蠢
[00:15:14--00:15:17] 然后那么如果从这个维度上来说
[00:15:17--00:15:18] 我觉得就已经实现了
[00:15:18--00:15:19] 今天再写一个代码
[00:15:19--00:15:22] 然后我跟GPT5.5去聊天
[00:15:22--00:15:25] 然后尤其是在go模式下面
[00:15:25--00:15:29] 然后我很难想象有什么事情是因为他没做好
[00:15:29--00:15:31] 而不是因为我没说清楚
[00:15:31--00:15:32] 然后他没做好
[00:15:32--00:15:32] 对
[00:15:32--00:15:34] 然后他基本上我给他说的
[00:15:34--00:15:36] 他基本上都能完成
[00:15:36--00:15:38] 然后包括帮我浮现一些basedline的问题
[00:15:38--00:15:41] 然后但是这是第二个level
[00:15:41--00:15:44] 我觉得从interaction的level
[00:15:44--00:15:46] 然后我觉得今天无论是余帅老师
[00:15:46--00:15:48] 还是魏文老师
[00:15:48--00:15:52] 都是非常关注人跟机器之间的关系
[00:15:52--00:15:56] 我觉得这个是所有我们去做一个技术的核心出发点
[00:15:56--00:15:58] 然后当我们从这个角度
[00:15:58--00:15:59] 再去理解这个事情的时候
[00:15:59--00:16:01] 就像刚才余帅老师强调
[00:16:01--00:16:02] 我们很多任务
[00:16:02--00:16:05] 其实我们说不清道不明的一些需求
[00:16:05--00:16:08] 然后AI他能不能做很好的理解
[00:16:08--00:16:11] 然后当然我们都知道它是由于Rio的nature
[00:16:11--00:16:11] 对吧
[00:16:11--00:16:15] 就是你能找到一个比较确定的verifiable reward
[00:16:15--00:16:16] 你就能处理的很好
[00:16:16--00:16:18] 然后人和人打交道
[00:16:18--00:16:19] 往往他这种
[00:16:19--00:16:21] 就是这个signal就不是很清晰
[00:16:21--00:16:23] 然后如果从这个理解
[00:16:23--00:16:25] 我认为就是AGI走到了一半
[00:16:25--00:16:26] 然后在ThinkHuman
[00:16:26--00:16:28] 前一段时间发了一个model
[00:16:28--00:16:29] 叫interaction model
[00:16:29--00:16:30] 这个interaction model
[00:16:30--00:16:31] 其实它是一个
[00:16:31--00:16:35] 他把人跟机器交互分成了两个阶段
[00:16:35--00:16:38] 一个阶段就是人和机器的交互的这个部分
[00:16:38--00:16:40] 然后是有可能一个interaction model来做
[00:16:40--00:16:43] 然后后面那个是怎么真正去处理
[00:16:43--00:16:44] 就是说后面一些复杂事情
[00:16:44--00:16:46] 他还是有一个background agent来做
[00:16:46--00:16:49] 然后我相信就是说interaction的这个部分
[00:16:49--00:16:51] 其实我们现在做的还是相当糟糕的
[00:16:51--00:16:54] 然后里面也包括文文老师讲
[00:16:54--00:16:57] 就是说这个一些多摩泰
[00:16:57--00:16:59] 然后一些这个语音方面的一些这个进展
[00:16:59--00:17:01] 我觉得还是要有很长的一个路要走
[00:17:01--00:17:04] 但是我觉得就是更大的一个topic
[00:17:04--00:17:05] 其实还是在于第三点
[00:17:05--00:17:08] 就是我们这个社会到底有没有准备好
[00:17:08--00:17:11] 让AGI来去帮助我们走进美好生活
[00:17:11--00:17:13] 我觉得是人没准备好
[00:17:13--00:17:15] 就是显然我们就是一直
[00:17:15--00:17:16] 就是我们来讨论这个话题
[00:17:16--00:17:19] 就是我们对我们的这个世界
[00:17:19--00:17:22] 现在其实还没有一个非常ready的准备
[00:17:22--00:17:25] 然后当AI什么都能做了以后
[00:17:25--00:17:29] 我现在赖以生存的这些重复性的技巧跟技能
[00:17:29--00:17:30] 它的意义还是什么
[00:17:30--00:17:32] 那显然就是没有意义
[00:17:32--00:17:36] 然后那么可能很多的博士都要重新思考
[00:17:36--00:17:39] 那我开题的报告还会没有什么意义
[00:17:39--00:17:44] 然后所以我觉得就是很多的事情
[00:17:44--00:17:46] 都值得我们重新再去思考
[00:17:46--00:17:48] 就像刚才我们也讨论一个
[00:17:48--00:17:50] 就是AGI强了以后
[00:17:50--00:17:52] 我们怎么就是去理解教育
[00:17:52--00:17:52] 对吧
[00:17:52--00:17:54] 就是大家怎么去利用这个AI的能力
[00:17:54--00:17:56] 但是它显然就是它这个社会
[00:17:56--00:17:58] 需要一个adaptive的这个过程
[00:17:58--00:18:00] 然后就会adapt到大家
[00:18:00--00:18:02] 其实能用AI来去让这个社会变得更好
[00:18:02--00:18:05] 而不是这个变得更糟的这样一种状态
[00:18:05--00:18:06] 然后这如果从这个意义上
[00:18:06--00:18:07] 我觉得就AGI
[00:18:07--00:18:10] 还有很大的一个这个距离要走
[00:18:10--00:18:10] 对
[00:18:13--00:18:14] 我觉得这三个层面
[00:18:14--00:18:17] 其实都讲到了就是不同的需求
[00:18:17--00:18:19] 其实就是我觉得也可以从这个
[00:18:19--00:18:22] Agent人和这个多个人
[00:18:22--00:18:22] 对吧
[00:18:22--00:18:24] 因为刚刚其实第一个层面就是Agent
[00:18:24--00:18:26] 第二个层面就是Agent跟人
[00:18:26--00:18:28] 第三个层面就是更多的人更多的Agent
[00:18:28--00:18:29] 对
[00:18:29--00:18:30] 我是这么去理解的
[00:18:30--00:18:30] 对
[00:18:30--00:18:34] 那这样就请卫文来给大家分享你对这个问题的看法
[00:18:35--00:18:38] 其实我对这个这个词
[00:18:38--00:18:40] 我觉得是一直是有一个比较明确的标准
[00:18:40--00:18:44] 就是等到什么时候AI能够自己优化自己的
[00:18:44--00:18:48] 就是什么时候它能够提出来一个比现在Transformer更优的架构了
[00:18:48--00:18:49] 我觉得就是AGI了
[00:18:49--00:18:53] 就是他有自己self learning的能力的时候
[00:18:53--00:18:58] 他就是真的一个能够完全脱离人的这个
[00:18:58--00:18:59] 现在人还要帮他准备数据
[00:18:59--00:19:01] 还需要去爬一些数据
[00:19:01--00:19:03] 做一些数据清洗数据规范
[00:19:03--00:19:05] 然后告诉他你要学什么
[00:19:05--00:19:08] 然后那到这个他能够自己知道自己缺什么数据
[00:19:08--00:19:10] 自己爬数据自己数据
[00:19:10--00:19:12] 就是人脱离这个训练的过程的时候
[00:19:12--00:19:17] 我觉得那就是AGI到了非常简单的
[00:19:17--00:19:22] 所以你觉得这个是一个比较快能达到的
[00:19:22--00:19:24] 还是说还是一个RM路线
[00:19:24--00:19:28] 我觉得应该是非常快就能做到的
[00:19:28--00:19:29] 哦对
[00:19:29--00:19:31] 其实还有一个问题想跟大家讨论
[00:19:31--00:19:34] 因为他大家都觉得现在是Agent什么下半场
[00:19:34--00:19:35] AI下半场
[00:19:35--00:19:36] 你们就真觉得已经到下半场了
[00:19:40--00:19:41] 这个我可以说一下
[00:19:41--00:19:44] 就是说下半场我觉得还远远不够
[00:19:44--00:19:47] 就是说就是到下半场
[00:19:47--00:19:49] 按道理说是应该很多人都用起来了
[00:19:49--00:19:50] 就是不像现在豆包一样
[00:19:50--00:19:51] 你手打开手机
[00:19:51--00:19:52] 你用豆包已经很自然了
[00:19:52--00:19:54] 已经进入到每个人的生活里面去了
[00:19:55--00:19:57] 但你要说一个Agent的东西
[00:19:57--00:19:58] 就我们定义的Agent
[00:19:58--00:20:00] 他能自主帮你完成很多事情的事情
[00:20:01--00:20:03] 那我觉得很多人都还没用上班
[00:20:03--00:20:04] 这个肯定是没到下半场的
