[00:00:00] 请不吝点赞 订阅 转发 打赏支持明镜与点点栏目
[00:00:30] 今天这场对话让我感受到了一种冰冻解风后的人间烟火气息
[00:03:26] 的演讲
[00:03:27] 做演讲这些这些很多
[00:03:29] 为什么你之前这么多年都没有上过一个播客或者做一个访谈
[00:03:33] 啊
[00:03:34] 我觉得
[00:03:37] 嗯
[00:03:39] 我不知道
[00:03:39] 我觉得我更适合做一个听众
[00:03:41] 我很喜欢podcast
[00:03:42] 对我经常听很多podcast
[00:03:44] 我的这个spotify
[00:03:45] youtube
[00:03:46] 每天上班下班
[00:03:48] 然后睡觉前平时没事都会听一些podcast
[00:03:52] 对
[00:03:53] 然后我觉得我也挺有表达的欲望的
[00:03:56] 或者说我私下里跟朋友聊聊天啊
[00:03:57] 我跟朋友也会聊很多东西
[00:03:58] 我跟学生我觉得嗯平时抓大家一起聊天
[00:04:01] 我觉得也很开心
[00:04:02] 嗯
[00:04:03] 但是podcast这件事情对我也不知道啊
[00:04:06] 可能是因为没有人邀请我吧
[00:04:09] 应该不会啊
[00:04:10] 其实对有一些吧
[00:04:12] 但是我觉得还是可能也是因为比较爱人吧
[00:04:14] 我觉得很多时候对觉得嗯不知道哪些话应该说哪些话值得说哪些话大家愿意听啊
[00:04:24] 但我现在我觉得慢慢对年龄大了啊
[00:04:26] 年龄大了之后也也还好
[00:04:28] 拥拥有了这个不被人喜欢的勇气
[00:04:31] 我其实在网上看了你的很多很多的信息
[00:04:35] 但是我发现所有人对你的描写都是从上海交大的AZM班开始的
[00:04:41] 那我也很好奇在那之前的谢赛宁是什么样的呀
[00:04:44] 嗯
[00:04:44] 你能不能从以你对这个世界拥有最早的记忆片段为开端来给我们讲一讲你的童年和成长
[00:04:52] 哦
[00:04:54] OK
[00:04:55] 嗯
[00:04:58] 因为确实没准备过或者说你得让我回忆回忆
[00:05:02] 从
[00:05:02] 从最早的记忆片段呢
[00:05:04] 当然就是我觉得从小时候开始吧
[00:05:07] 可能
[00:05:08] 嗯
[00:05:09] 四五岁的时候
[00:05:10] 嗯
[00:05:11] 我妈妈带着我去四处旅游
[00:05:13] 这可能就是一开始的记忆
[00:05:15] 哦
[00:05:16] 在哪里旅游
[00:05:17] 呃
[00:05:17] 各种地方
[00:05:18] 对
[00:05:19] 因为他也做一些生意
[00:05:20] 然后四处跑
[00:05:21] 全国各处跑
[00:05:22] 对吧
[00:05:22] 我记得印象很深
[00:05:23] 对吧
[00:05:24] 这种在上海的这种初印象
[00:05:26] 就是
[00:05:27] 啊
[00:05:27] 四川啊
[00:05:28] 然后这些就是能想象的各种旅游景点吧
[00:05:31] 啊
[00:05:32] 但是对我
[00:05:33] 如果非要
[00:05:34] 对
[00:05:35] 申爸这个家庭情况的就是
[00:05:37] 就是我爸是一个纯粹的私宅
[00:05:39] 嗯
[00:05:39] 啊
[00:05:40] 从来不出门
[00:05:41] 但是他最爱看的事情就是看书
[00:05:44] 所以我家里
[00:05:45] 呃
[00:05:46] 反正有一个书房吧
[00:05:47] 然后几面墙都是都是书
[00:05:50] 所以所以我小时候基本上就处在这种状态之中
[00:05:53] 要么就在外面跑
[00:05:54] 被我妈带着到外面旅游
[00:05:56] 啊
[00:05:57] 要么就在家里面翻一些有的没的啊
[00:06:00] 能看的不能看的书都看一看
[00:06:02] 对
[00:06:02] 然后我觉得这是这是一开始的童年
[00:06:05] 然后到了后面后来确实我觉得我们这一代人的成长经历还蛮不一样的
[00:06:10] 因为我觉得当然不知道
[00:06:13] 我觉得现在孩子可能在这种AI的时代也会有同样的感受吧
[00:06:17] 但我那时候我大概九岁的时候有自己的第一台电脑
[00:06:20] 然后那时候开始啊
[00:06:23] 不用来干正事的吧
[00:06:24] 也是一盒一盒的买
[00:06:26] 游戏然后打游戏
[00:06:28] 然后后来有了互联网啊
[00:06:30] 然后第一次感觉到这种信息爆炸
[00:06:32] 所以那时候第一次知道什么叫做内容啊
[00:06:35] 然后那时候就会觉得自己突然有了更多的表达
[00:06:39] 因为你看书还是单向的这种学习的过程啊
[00:06:43] 虽然也是很开阔的
[00:06:45] 但到网上当初有这些BBS
[00:06:48] 然后你可以上网去发表意见
[00:06:49] 我还记得的吧
[00:06:50] 有有这种新浪博客啊
[00:06:53] 现在可能都没有了
[00:06:54] 但我写了很多很多的博客
[00:06:56] 哦是吗
[00:06:56] 啊呃
[00:06:57] 关于各种各样的乱七八糟的topic
[00:07:00] 现在对现在肯定回头看过去都会都会很好笑
[00:07:05] 但是最popular的一篇文章是什么呀
[00:07:07] 很多吧
[00:07:09] 我觉得我记得
[00:07:10] 啊
[00:07:11] 有点有点
[00:07:13] 为负心词强说愁的感觉吧
[00:07:17] 嗯
[00:07:17] 可能那时候包括QQ空间对吧
[00:07:20] 就是大家总会有一个想要有一个平台去去表达自己
[00:07:24] 嗯
[00:07:24] 然后到后面其实还有更多的这种新兴的媒介出现
[00:07:28] 包括有博客
[00:07:29] 然后有有有微博的吧
[00:07:31] 但那时候其实不是为微博是范否
[00:07:33] 不知道听没听说过
[00:07:35] 是王兴对吧
[00:07:36] 所以然后那时候我也是范否的众多用户啊
[00:07:40] 啊上面呃范否现在还能登录
[00:07:43] 但是实在是不忍直视啊
[00:07:45] 有时候看了看
[00:07:46] 我想哎呀要不要赶紧删掉啊
[00:07:48] 最后想象还是留在那吧啊
[00:07:50] 那变成这个互联网基地的一部分
[00:07:54] 但是
[00:07:54] 我觉得那时候呃
[00:07:57] 我觉得我觉得这种互联网的爆炸式的增长
[00:08:01] 让我变成了一个对很多事情都很感兴趣的人
[00:08:05] 嗯
[00:08:06] 我觉得是这样
[00:08:07] 所以你爸爸妈妈你妈妈是做生意的
[00:08:11] 你们是一个商人家庭吗
[00:08:13] 也不是也不是
[00:08:14] 呃
[00:08:15] 对啊
[00:08:16] 反正我爸爸基本上也是他
[00:08:18] 他是本科是学心理学的
[00:08:20] 啊
[00:08:21] 他也之前也从事一些教育工作
[00:08:24] 啊
[00:08:24] 后来也在一些呃这种电视台上的传媒工作
[00:08:28] 哦
[00:08:29] 可能跟你是同行
[00:08:30] 哦
[00:08:30] 对所以他小时候我的记忆对他的记忆是他扛着摄像机到处跑
[00:08:35] 哦
[00:08:36] 那这个有趣
[00:08:37] 对对对
[00:08:38] 但我家里确实没有没有人是学纯理工的啊
[00:08:42] 哦
[00:08:43] 这也让你的性格我觉得还有一有一部分是蛮文艺的
[00:08:46] 可能吧
[00:08:47] 对
[00:08:48] 但是但我觉得我我觉得我我我一想说的还是嗯在这种非常轻松的家庭环境之中的那种感觉是很重要的啊
[00:08:54] 对
[00:08:54] 我觉得这个很重要的一个人
[00:08:56] 因为我自己是一个人
[00:08:57] 我自己的家庭环境成长起来
[00:08:58] 啊
[00:08:58] 确实让我的自己的这个世界模型我觉得啊
[00:09:01] 我自己对他我还是觉得蛮蛮proud of对蛮蛮骄傲的
[00:09:05] 嗯
[00:09:05] 因为我觉得我会或者说你刚刚问为什么会来纽约
[00:09:08] 这我觉得这也是其中一部分
[00:09:10] 嗯
[00:09:11] 啊
[00:09:11] 我觉得我可能会希望自己或者希望身边的人都更加open mind的去看待这个世界吧
[00:09:17] 你是学习成绩这很好吗
[00:09:20] 因为你是保送到交代acm班的
[00:09:22] 呃
[00:09:23] 完全不是啊
[00:09:23] 完全不是的
[00:09:24] 我是从高中对我觉得这件事情是这样就是说
[00:09:28] 你可以看我现在有身边有很多很多的朋友
[00:09:30] 大家其实都是呃a class一路走上来的
[00:09:34] 对啊
[00:09:35] 最好的高中对吧
[00:09:36] 然后最好的本科呃参加竞赛最好的文科
[00:09:40] 然后最好的phd
[00:09:42] 然后结束了之后去比如四大教书就有一个非常清晰的主线对吧
[00:09:47] 然后我也很崇敬他们
[00:09:49] 我完全不是这样啊
[00:09:50] 我是一个
[00:09:53] 最多是一个
[00:09:53] e class的这样的一个trajectory
[00:09:55] 哦
[00:09:56] 你像你像而且很多我的这些决策其实还是蛮玄学的
[00:09:59] 因为我觉得我并没有刻意的
[00:10:02] 在某种这种幽寂主义的这种这种这种这种siding下框架下面
[00:10:08] 去努力追求一些事情
[00:10:10] 很多时候其实还是挺随机的啊
[00:10:13] 然后可能也是这个没办法啊
[00:10:16] 这个智商不够
[00:10:18] 但是确实比如说像保送的时候对吧
[00:10:21] 这个也是很偶然
[00:10:22] 然后反正有有两个
[00:10:23] 呃这种心理学跟数学的竞赛的奖
[00:10:26] 然后这时候恰好交大有这么一个
[00:10:30] 啊计划就是说可以提前进校啊
[00:10:33] 就是想收割一些同学然后让大家不要去高考
[00:10:36] 对其实我当初还是蛮顺着高考的这个框架去培养
[00:10:40] 其实我啊本身应该是应该是要去参加高考的啊
[00:10:46] 所以当当初还纠结了很很长一段时间
[00:10:49] 学校老师都会说
[00:10:50] 这个不行啊
[00:10:52] 你怎么能这个临阵脱逃呢
[00:10:54] 你看你的成绩也很好
[00:10:56] 对吧
[00:10:56] 你当然应该冲一冲清华北大
[00:10:58] 然后我的内心想法是
[00:11:01] 交大挺好
[00:11:03] 我觉得我去上海也待过
[00:11:06] 我觉得我跟这个城市
[00:11:07] 跟这个学校都气质相投
[00:11:10] 并且我就是想学计算机
[00:11:12] 然后我觉得交大那个时候
[00:11:13] 计算机也很不错
[00:11:15] 我也听说过
[00:11:17] 有ACM这样的一个计划
[00:11:18] 虽然那时候这个选拔的过程
[00:11:20] 其实是要到
[00:11:20] 你提前进校进去之后
[00:11:23] 有一个夏令营之类的
[00:11:24] 这样一个program
[00:11:26] 对吧
[00:11:26] 然后你进行一些测试
[00:11:28] 然后才能进入到班级里面
[00:11:32] 对
[00:11:32] 但这里面有很多
[00:11:33] 很有趣的事情发生
[00:11:34] 当然首先话又说回来
[00:11:36] 我觉得我还是蛮
[00:11:38] 怎么说呢
[00:11:40] 就让我再选一次的话
[00:11:41] 我完全不会后悔
[00:11:42] 对
[00:11:42] 我觉得提前进校的暑假
[00:11:45] 是我这人生中的高光时刻
[00:11:47] 为什么
[00:11:48] 因为那两个月啥也没干
[00:11:51] 就在寝室里面打游戏
[00:11:52] 这为什么是高光时刻
[00:11:54] 因为这辈子在之后
[00:11:56] 再也没有出现过这样的时刻了
[00:11:58] 当时打什么游戏
[00:11:59] 很多啊
[00:12:00] 打刀台啊什么的
[00:12:01] 就是宿舍里面
[00:12:02] 就是那种我在高中时候
[00:12:04] 从互联网上看到的那种大学生活
[00:12:07] 你知道吗
[00:12:08] 就是有好好学习的一部分
[00:12:12] 但也有一些这些
[00:12:14] 找寻自己
[00:12:15] 然后在
[00:12:17] 就从漫无天日的虚度时光的这样的一个经历
[00:12:22] 所以现在您的人生高光时刻是在虚度时光是吗
[00:12:26] 在寝室里
[00:12:27] 可以这么认为
[00:12:29] 你很有意思啊
[00:12:31] 你一直在说你不是成绩最好的那些人
[00:12:34] 但是你也很顺呀
[00:12:36] 你似乎也是成绩最好的那一批
[00:12:38] 为什么你对你自己心里的认知是
[00:12:40] 我的成绩其实是一半呢
[00:12:42] 我其实就是说我看跟谁比的吧
[00:12:44] 跟那些最顶尖的竞赛选手
[00:12:46] 像我刚刚描述的这颗
[00:12:47] 非常顺利的这个对吧
[00:12:50] 摇般大神
[00:12:51] 然后四大PhD四大教授来比
[00:12:53] 那我真的是远远远远不如
[00:12:56] 但另一方面我觉得我还蛮感恩我所有这段经历的
[00:13:01] 因为我会觉得
[00:13:04] 就接下往后讲的话
[00:13:05] 其实我觉得还蛮还蛮有意思的
[00:13:08] 比如说在我去交大的时候
[00:13:11] 其实交大也不一定是一个在计算机方面
[00:13:14] 人工智能方面一个特别特别
[00:13:17] 但是我还是觉得是一个领先的这样一个学校
[00:13:20] 然后到现在比如像一三班已经变成了一个
[00:13:23] 当然跟我没什么关系
[00:13:25] 但我的学弟学妹们包括我的学长们对吧
[00:13:28] 不管是做创业还是在做学术
[00:13:31] 然后在各个地方发光发热
[00:13:33] 然后并且我们有一个很强的这样一个校友的网络
[00:13:37] 大家联系在一起
[00:13:38] 然后做事情
[00:13:40] 我觉得我觉得还是是一个向上的这样一个去找去吧
[00:13:46] 向上的一个轨迹
[00:13:47] 再到后来
[00:13:49] 这里面还有一个很有很有意思的事情
[00:13:51] 我想提一下
[00:13:52] 就一三班会面试
[00:13:53] 然后面试的过程会有这种老教授的
[00:13:57] 当初是这个沈少教授面试我们
[00:14:00] 这个面试其实不是不是问你一些technical的问题
[00:14:04] 他会问你你喜欢读什么书
[00:14:06] 然后我觉得这件事情是明明注定有一些缘分
[00:14:11] 因为我当初非常着急
[00:14:14] 差点答不上来
[00:14:15] 然后我跟他说
[00:14:17] 我说我其实很喜欢看那本书
[00:14:19] 也是我最近刚看完那本书
[00:14:22] 是这本书叫what is mathematics
[00:14:24] 就是什么是数学
[00:14:26] 然后沈人超老师就接着就问说
[00:14:28] 哎那你这本书的作者是谁
[00:14:31] 要考考我
[00:14:33] 然后我有点懵
[00:14:34] 对
[00:14:34] 然后你这个对吧
[00:14:36] 一个高中生
[00:14:36] 人家这个对外国人名我也记不住
[00:14:39] 想了想最终还是打出来了
[00:14:41] 是这个Richard Perron
[00:14:43] 就是理查德科朗
[00:14:44] 然后沈老师就是说
[00:14:46] 对
[00:14:47] 我记住这个名字
[00:14:48] 因为这是相当于二十世纪最伟大的一名数学家啊
[00:14:52] 为什么这件事情让我觉得冥冥之中自有天意
[00:14:55] 或者有些巧合在这里面的是因为现在在NYU
[00:14:58] 我在的这个这个系
[00:15:00] 这个院就是科朗数学科学研究所啊
[00:15:03] 就是Richard Perron啊
[00:15:06] 拿铲子挖的第一勺土
[00:15:08] 对他建起来的这个系
[00:15:10] 所以啊
[00:15:12] 我觉得还蛮有意思的对吧
[00:15:14] 然后到后面申请其实也是一样
[00:15:16] 我觉得啊
[00:15:17] 嗯
[00:15:18] 或者从另外一个角度来来说这件事吧
[00:15:20] 我觉得我觉得好像这个世界总是不想让我去做我想做的事情
[00:15:27] 但是但是我偏偏要做我想做的事情啊
[00:15:30] 呃
[00:15:31] 比如说本科的时候
[00:15:32] 我一开始就对计算机视觉对吧
[00:15:36] 或者说对人工智能产生了一些兴趣
[00:15:40] 啊
[00:15:40] 那时候也是刚开始就是在A3班
[00:15:43] 大家会在大二开始进行这种这种科研实习
[00:15:46] 然后回到
[00:15:47] 这个学校里面的不同实验室里面去
[00:15:49] 然后我去的这个学院是就是一个做啊
[00:15:53] 神经科学加AI的这样一个实验室啊
[00:15:56] 叫BCMI
[00:15:57] 然后书架上放着很多很多关于意识
[00:16:01] 关于大脑
[00:16:02] 关于图像啊
[00:16:05] 然后关于我们怎么样对真实世界产生认知这样的书啊
[00:16:10] 我看到之后觉得哇太有意思了
[00:16:13] 然后呃
[00:16:15] 后来再往再这个过程中呢
[00:16:17] 我还认识了我的一个学长啊
[00:16:19] 这个学长是这个侯小迪啊
[00:16:22] 然后他他对他也是丁颖大名
[00:16:25] 他之前也创业
[00:16:26] 然后现在也在创业啊
[00:16:27] 然后我每每跟他聊起来
[00:16:29] 他总会说这个世界变了
[00:16:32] 但我们都没变啊
[00:16:33] 我们特指我跟他
[00:16:35] 因为因为我觉得我们每次聊的东西就像我们十几年前聊的东西一模一样
[00:16:40] 对那时候他是这个学校的一个传奇
[00:16:44] 对然后他干了两件传奇的事儿
[00:16:47] 啊
[00:16:48] 第一件传奇的事儿是他作为一个本科生啊
[00:16:52] 发表了一篇CVPR的论文
[00:16:55] 然后这个论文里面啊
[00:16:58] 是一个非常精巧的算法啊
[00:17:00] 一共只有七行代码解决了一个很重要的问题
[00:17:03] 然后发表了一篇论文
[00:17:05] 现在CVPR已经每年接受可能几千几千几千篇论文的吧
[00:17:09] 好几万篇投稿
[00:17:11] 所以现在你像我们要招本科生
[00:17:13] 然后大家人手都三篇四篇五篇CVPR
[00:17:17] 已经不算什么了
[00:17:18] 但在那个时候在大陆的学校啊
[00:17:22] 能发表这样一个鼎会的工作
[00:17:25] 其实是非常非常困难的
[00:17:27] 非常罕见
[00:17:28] 然后如果是一个本科生发表这样的工作
[00:17:32] 闻所未闻啊
[00:17:33] 所以所以真的是每一个人都非常非常佩服他
[00:17:36] 但是呢他又做第二件非常厉害的事情是
[00:17:40] 他啊带领一个team
[00:17:43] 撰写了一个东西叫做交大生存手册
[00:17:46] 交大学生生存手册
[00:17:47] 嗯
[00:17:47] 这还是一个team写的
[00:17:48] 呃应该是他主笔啊
[00:17:50] 我不知道后面应该有一个团队跟他一起啊
[00:17:53] 然后这个东西现在网上还有存档啊
[00:17:56] 我觉得欢迎大家呃
[00:17:59] 线下可以去看一下
[00:18:00] 对呃这个手册里面讲了什么东西
[00:18:03] 然后有些有些话
[00:18:05] 对我前两天又回头又重温了一下啊
[00:18:08] 我觉得非常非常有意思
[00:18:09] 对呃
[00:18:10] 他讲的事情是什么
[00:18:11] 就是讲说人为什么要学习
[00:18:14] 中国的教育体制
[00:18:16] 大学的模式
[00:18:17] 到底哪里错了
[00:18:18] 你应该把时间花在什么样的地方上
[00:18:21] 去达到你想要的人生
[00:18:24] 嗯
[00:18:24] 啊
[00:18:25] 或者说他也指导大家说怎么样做研究
[00:18:28] 做研究的目的是什么
[00:18:30] 不是要灌水发论文
[00:18:32] 而是真的对这种无限的未知的探索
[00:18:35] 啊
[00:18:36] 类似于这样的事情
[00:18:36] 啊
[00:18:37] 当然里面也会教大家什么怎么样逃课啊
[00:18:42] 呃
[00:18:43] 完成作业比较比较快速的方式完成一些作业
[00:18:46] 对
[00:18:46] 是一个这种的目的
[00:18:47] 这种小册子
[00:18:48] 呃
[00:18:48] 我也去读了一下
[00:18:49] 他说如果一个人把政策评分作为自己的至高追求
[00:18:53] 那么他就是这个政策的牺牲品
[00:18:55] 嗯
[00:18:55] 我完全同意
[00:18:56] 对
[00:18:57] 我觉得这些事情
[00:18:58] 现在回想起来
[00:18:59] 可能前一幕话真的影响了我
[00:19:01] 对很多事情的认知
[00:19:03] 他在发表这个的时候
[00:19:04] 你大几啊
[00:19:06] 呃
[00:19:06] 大大一大二吧
[00:19:08] 对
[00:19:08] 大一大二你就认识他了
[00:19:09] 什么
[00:19:09] 呃
[00:19:10] 那时候他已经申请成功
[00:19:12] 然后去了呃
[00:19:13] 加州理工读phd
[00:19:14] 哦
[00:19:14] 所以我跟他是在
[00:19:16] 呃
[00:19:16] 因为他也是
[00:19:17] 呃
[00:19:17] 这个这个实验室毕业的
[00:19:18] 所以我跟他相当于在网上沟通
[00:19:21] 呃
[00:19:22] 何小迪当初是在这个加州理工
[00:19:24] 然后就已经读phd了
[00:19:25] 对
[00:19:25] 他也申请到了很好的学校
[00:19:28] 然后我们都非常非常羡慕
[00:19:29] 啊
[00:19:29] 在那个时候
[00:19:30] 然后我跟他还是会在
[00:19:31] 这个当初是在google chat上
[00:19:33] 然后跟他聊很多很多的话
[00:19:35] 然后他真的是也是
[00:19:37] 啊
[00:19:38] 给了我很多很多的建议吧
[00:19:40] 对
[00:19:41] 现在还记得有什么建议啊
[00:19:43] 呃
[00:19:44] 没有
[00:19:44] 更多的时候在网上跟他聊的时候
[00:19:46] 更多是聊research
[00:19:47] 对
[00:19:48] 到底应该做什么事情
[00:19:49] 嗯
[00:19:49] 跟他讲一下我自己的迷茫
[00:19:51] 啊
[00:19:52] 然后
[00:19:53] 呃
[00:19:53] 然后怎么样怎么样能够发出来一篇论文吧
[00:19:56] 大概向他取取经
[00:19:58] 对
[00:19:59] 然后那时候
[00:20:00] 但那个时候我觉得通过小迪
[00:20:02] 然后通过我看的这些书已经基本上确定了
[00:20:05] 我觉得我这辈子就想做这个事儿
[00:20:07] 啊
[00:20:07] 我觉得这件事情可太有意思了
[00:20:09] 计算机视觉
[00:20:10] 呃
[00:20:10] 那时候其实并没有这样一个名字在那
[00:20:14] 或者说慢慢开始有计算机视觉这样一个
[00:20:17] 做一个terminology
[00:20:18] 但其实之前对吧
[00:20:20] 然后大家去处理图像或者vue的信息已经很长时间了
[00:20:24] 比如大家会做所谓image processing
[00:20:26] 就是图像处理啊
[00:20:28] 呃更多的是从这种we的major开始的
[00:20:31] 对
[00:20:31] 然后计算机视觉可能是呃
[00:20:34] 有呃慢慢变得更加更加popular
[00:20:37] 嗯
[00:20:37] 对
[00:20:38] 然后也也就是我开始学习这些之后的这些知识的时候吧
[00:20:43] 它开始变得越来越popular
[00:20:45] 对
[00:20:46] 然后呃我总说这个世界总不想让我们做这件事情
[00:20:50] 是因为在呃交代A3班的时候
[00:20:53] 其实还有另外一个特点是这个班里的每个学学生
[00:20:57] 在大三的时候都要出去实习一次
[00:21:00] 嗯
[00:21:01] 现在其实也蛮常规的
[00:21:02] 但其实在当时还是就是这个班的主要的这个这个发起人
[00:21:08] 叫于永老师啊
[00:21:09] 他的一个创举
[00:21:10] 所以那时候大部分人就是A3班会跟这个Microsoft呃
[00:21:15] recitation
[00:21:16] 就是亚元亚元院有这么一个合作的一个项目
[00:21:19] 所以会把我们的很多学生送过去
[00:21:21] 然后做一个大概呃6个月的这样一个实习
[00:21:24] 对
[00:21:25] 所以呃我的当初的就是如果我什么都不做的话
[00:21:31] 我就会去亚亚元院实习
[00:21:33] 对
[00:21:33] 虽然也很好
[00:21:34] 但那时候呃其实没有一个做视觉的组
[00:21:38] 愿意接受A3班的本科生去实习
[00:21:41] 哦
[00:21:41] 为什么呀
[00:21:42] 呃我不知道
[00:21:43] 可能是因为当初你像马毅老师啊
[00:21:45] 孙建老师都在那边啊
[00:21:47] 开明的时候应该也在那边了
[00:21:49] 然后我觉得他们可能不喜欢有太多的这些啥也不懂的本科生
[00:21:54] 哦
[00:21:55] 过来参与这些事情对吧
[00:21:56] 他那个他们那个时候非常的人才积极
[00:21:58] 是的是的是的
[00:21:59] 没错
[00:22:00] 但但我们真的是什么也不懂对吧
[00:22:02] 我觉得我我现在也慢慢能理解啊
[00:22:04] 呃但那时候呃有一个选择就是还是去MSRA
[00:22:09] 但是就不要做什么跟视觉相关的这些research了啊
[00:22:13] 然后于老师也跟我说说
[00:22:15] 哎呀其实你们本科生啊
[00:22:17] 现在最重要的还是有一段研究的经历
[00:22:20] 学会怎么样做研究啊
[00:22:22] 呃具体做什么样的这个这个方向不重要
[00:22:25] 不是很重要
[00:22:26] 嗯对呃
[00:22:27] 但我觉得不行啊
[00:22:29] 我觉得我没办法接受我去做一个完全不一样的一个一个方向
[00:22:33] 我希望对这个领域了解的更多
[00:22:36] 我希望能够踏踏实实的啊做一些事情
[00:22:39] 然后希望有朝一日能像小弟一师兄一样啊
[00:22:43] 能够发一篇CVPR的论文
[00:22:45] 对这是我当初的这个
[00:22:46] 小弟那时候就已经是你的偶像了是吗
[00:22:48] 有点有点
[00:22:49] 他他是很多人的偶像
[00:22:50] 对在加拿大的时候
[00:22:51] 哦
[00:22:52] 呃然后所以我就开始琢磨这个事情怎么办啊
[00:22:57] 然后就开始发邮件
[00:22:58] 所以联系了这个新加坡的NUS
[00:23:01] 是吧
[00:23:02] 啊新加坡国立大学的颜水城老师的这个实验室
[00:23:06] 嗯对啊这件事情是完全我自己联系的
[00:23:09] 也没有也没有告诉于老师啊
[00:23:11] 然后等到敲定说哎
[00:23:13] 我可以有这么一个实习的机会了
[00:23:14] 嗯
[00:23:15] 然后他那边已经有一些补贴
[00:23:17] 然后说什么时间什么样的这些这些这些架构已经都啊比较完善了
[00:23:22] 然后我就去找于老师
[00:23:24] 我说
[00:23:25] 于老师我实在是不想去亚演员啊
[00:23:28] 我想去这个新加坡的这个学校的这个组去做我想做的研究
[00:23:32] 嗯啊
[00:23:33] 老师沉默了几秒钟
[00:23:35] 对啊
[00:23:36] 可能我猜啊我不知道我我我还没有问问过他这个问题
[00:23:39] 但我猜他心里想法是啊
[00:23:41] 这个学生怎么这么刺头
[00:23:43] 嗯
[00:23:44] 因为在老师心中亚演员是一个更好的选择
[00:23:46] 是的是的啊
[00:23:47] 一是一个更好的选择
[00:23:48] 二是我觉得也是能够让大家都通过对吧
[00:23:50] 能把大家聚聚合在一起
[00:23:51] 我觉得一是当然也方便管理了
[00:23:52] 第二也会有一些更多的这种心得值的吧
[00:23:53] 大家还是可以互相交流啊
[00:23:55] 然后那那你去一个新的地方
[00:23:56] 这件事情到底意味着什么
[00:23:57] 嗯
[00:23:58] 这个地方到底靠不好
[00:23:59] 嗯
[00:24:00] 那你去一个新的地方
[00:24:01] 这件事情到底意味着什么
[00:24:02] 嗯
[00:24:03] 这个地方到底靠不好
[00:24:04] 嗯
[00:24:05] 那你去一个新的地方
[00:24:06] 嗯
[00:24:07] 那你去一个新的地方
[00:24:08] 嗯
[00:24:09] 那你去一个新的地方
[00:24:10] 嗯
[00:24:11] 这个地方到底靠不靠谱
[00:24:12] 你要做的事情靠不靠谱
[00:24:13] 哦
[00:24:14] 这件事情可能是不可控的
