page	source	status	title	rationale
H041	slides-images/hyung-slide-041.jpg	required	Share cross- and self-attention parameters	transformation step 1
H042	slides-images/hyung-slide-042.jpg	required	Comparison table after step 1	explicit interpretation of step 1
H043	slides-images/hyung-slide-043.jpg	optional	Repeated comparison state	visual duplicate between summary and next transformation
H044	slides-images/hyung-slide-044.jpg	required	Share encoder and decoder parameters	transformation step 2
H045	slides-images/hyung-slide-045.jpg	required	Comparison table after step 2	explicit interpretation of step 2
H046	slides-images/hyung-slide-046.jpg	optional	Repeated comparison state	visual duplicate between summary and next transformation
H047	slides-images/hyung-slide-047.jpg	required	Decoder layer l attends encoder layer l	transformation step 3
H048	slides-images/hyung-slide-048.jpg	required	Comparison table after step 3	explicit interpretation of step 3
H049	slides-images/hyung-slide-049.jpg	optional	Repeated comparison state	visual duplicate between summary and next transformation
H050	slides-images/hyung-slide-050.jpg	required	Make encoder self-attention causal	transformation step 4
H051	slides-images/hyung-slide-051.jpg	required	Final comparison table	complete four-difference summary
H052	slides-images/hyung-slide-052.jpg	required	Three extra structures in encoder-decoder	overview of the inductive-bias analysis
H053	slides-images/hyung-slide-053.jpg	required	Separate parameters for input and target	focuses the first assumption
H054	slides-images/hyung-slide-054.jpg	required	Machine translation made separation natural	historical motivation
H055	slides-images/hyung-slide-055.jpg	required	Modern language modeling weakens that motivation	scale-era counterargument
H056	slides-images/hyung-slide-056.jpg	required	Instruction tuning setup	empirical case study
H057	slides-images/hyung-slide-057.jpg	required	Encoder-decoder gained more in FLAN	empirical result
H058	slides-images/hyung-slide-058.jpg	required	Academic data have long-input short-target skew	mechanism behind the result
H059	slides-images/hyung-slide-059.jpg	required	Target sees only the final encoder representation	focuses the second assumption
H060	slides-images/hyung-slide-060.jpg	required	Cross-attention only attends final-layer activations	architecture evidence
H061	slides-images/hyung-slide-061.jpg	required	Deep layers encode different granularities	representation-hierarchy argument
H062	slides-images/hyung-slide-062.jpg	required	Bidirectional input attention	focuses the third assumption
H063	slides-images/hyung-slide-063.jpg	required	Layer-aligned alternative	counterfactual design
H064	slides-images/hyung-slide-064.jpg	required	Bidirectionality may matter less at scale	claim plus engineering tradeoff
H065	slides-images/hyung-slide-065.jpg	optional	Multi-turn attention build	progressive state superseded by H066
H066	slides-images/hyung-slide-066.jpg	required	Bidirectional versus unidirectional chat caching	final complete comparison
H067	slides-images/hyung-slide-067.jpg	required	Conclusion	final synthesis and research method
